scientific_name,genus,sayer_name,id_difficulty,plant_part,season,best_in,forage_chart,sayer_rating,conservation,sayer_group,page_number,native,sub_location,toxic_lookalike,notes,
Equisetum arvense,Equisetum,Field horsetail,1,shoot,spring,,FD,1,1,1,32,y,,,,
Botrychium virginianum,Botrychium,Rattlesnake fern,2,leafy_greens,spring,,"DDFW, MF",3,2,1,33,y,,,,
Botrychium virginianum,Botrychium,Rattlesnake fern,2,leafy_greens,summer,,"DDFW, MF",3,2,1,33,y,,,,
Botrychium virginianum,Botrychium,Rattlesnake fern,2,leafy_greens,fall,,"DDFW, MF",3,2,1,33,y,,,,
Pteridium aquilinum,Pteridium,Bracken fern,1,shoot,spring,,"DDFW, NCBF, SEF, FD, BL",2,1,1,34,y,,,,
Pteridium aquilinum,Pteridium,Bracken fern,1,shoot,early_summer,,"DDFW, NCBF, SEF, FD, BL",2,1,1,34,y,,,,
Pteridium aquilinum,Pteridium,Bracken fern,1,rhizome,fall,,"DDFW, NCBF, SEF, FD, BL",1,2,1,34,y,,,,
Matteucia struthiopteris,Matteucia,Ostrich fern,1,shoot,spring,,"MF, FP",3,2,1,37,y,,,,
Athyrium filix-femina,Athyrium,Lady fern,1,shoot,spring,,"MF, NCBF",2,1,1,38,y,,,,
Morus alba,Morus,Asian mulberry,1,berry,early_summer,,"FP, YL",3,,3,47,i,,,,
Morus alba,Morus,Asian mulberry,1,leafy_greens,spring,,"FP, YL",2,,3,47,i,,,seasonality from floodplain forage chart,
Morus alba,Morus,Asian mulberry,1,leafy_greens,early_summer,,"FP, YL",2,,3,47,i,,,seasonality from floodplain forage chart,
Rubus idaeus,Rubus,Red raspberry,1,berry,mid_summer,,"NCBF, BL, S",3,1,3,50,y,,,,
Rubus idaeus,Rubus,Red raspberry,1,berry,late_summer,,"NCBF, BL, S",3,1,3,50,y,,,,
Rubus idaeus,Rubus,Red raspberry,1,peeled_shoot,summer,,"NCBF, BL, S",2,1,3,50,y,,,,
Rubus idaeus,Rubus,Red raspberry,1,steeped_beverage,summer,,"NCBF, BL, S",,1,3,50,y,,,use leaves for tea,
Rubus phoenicolasius,Rubus,Wineberry,1,berry,early_summer,,BL,3,,3,51,i,southern,,,
Rubus phoenicolasius,Rubus,Wineberry,1,berry,mid_summer,,BL,3,,3,51,i,southern,,,
Rubus phoenicolasius,Rubus,Wineberry,1,peeled_shoot,growing,,BL,2,,3,51,i,southern,,,
Rubus occidentalis,Rubus,Black raspberry,1,berry,summer,,"DDFW, BL",3,1,3,52,y,,,,
Rubus occidentalis,Rubus,Black raspberry,1,peeled_shoot,growing,,"DDFW, BL",3,1,3,52,y,,,,
Rubus,Rubus,Blackberry,1,berry,mid_summer,,"DDFW, SEF, BL",3,1,3,53,y,,,,
Rubus,Rubus,Blackberry,1,berry,late_summer,,"DDFW, SEF, BL",3,1,3,53,y,,,,
Rubus,Rubus,Blackberry,1,peeled_shoot,growing,,"DDFW, SEF, BL",1,1,3,53,y,,,,
Rubus,Rubus,Blackberry,1,shoot,summer,,"DDFW, SEF, BL",3,1,3,53,y,,,"season infered, occurs from browsing of regular shoots in early summer",
Rubus,Rubus,Dewberry,1,berry,summer,,"DDFW, FD, BL",3,1,3,54,y,,,,
Rubus chamaemorus,Rubus,Cloudberry,1,berry,late_summer,,"B, T",3,1,3,55,y,northern,,,
Rubus pubescens,Rubus,Plumboy,1,berry,early_summer,,"NCBF, S",3,1,3,56,y,,,,
Pinus,Pinus,Pine,1,inner_bark,year,,NCBF,1,3,4,58,y,,,,
Pinus,Pinus,Pine,1,cambium,year,,NCBF,2,3,4,58,y,,,,
Pinus,Pinus,Pine,1,steeped_beverage,year,,NCBF,1,3,4,58,y,,,use needles for tea,
Pinus,Pinus,Pine,1,pollen,early_summer,,NCBF,1,3,4,58,y,,,,
Picea,Picea,Spruce,1,inner_bark,early_spring,,NCBF,1,3,4,60,y,,,,
Picea,Picea,Spruce,1,cambium,early_spring,,NCBF,2,3,4,60,y,,,,
Picea,Picea,Spruce,1,shoot,spring,,NCBF,2,3,4,60,y,,,,
Picea,Picea,Spruce,1,shoot,early_summer,,NCBF,2,3,4,60,y,,,,
Abies balsamea,Abies,Balsam fir,1,cambium,early_summer,,,1,,4,61,n,,,,
Abies balsamea,Abies,Balsam fir,1,pod,late_summer,,,1,,4,61,n,,,immature seed cones,
Tsuga canadensis,Tsuga,Eastern hemlock,1,inner_bark,early_summer,,,1,3,4,62,y,,,,
Tsuga canadensis,Tsuga,Eastern hemlock,1,steeped_beverage,year,,,1,3,4,62,y,,,use needles for tea,
Empetrum nigrum,Empetrum,Black crowberry,1,berry,late_summer,,T,2,1,4,64,y,,,"in iNat on mansfield, but not in range map in sayer",
Empetrum nigrum,Empetrum,Black crowberry,1,berry,fall,,T,2,1,4,64,y,,,"in iNat on mansfield, but not in range map in sayer",
Juniperus communis,Juniperus,Common juniper,1,seasoning,late_summer,,,,1,4,65,y,,,"berry used as seasoning or for gin, same for branch tips in spring",
Juniperus communis,Juniperus,Common juniper,1,steeped_beverage,year,,,,1,4,65,y,,,use needles for tea,
Juniperus virginiana,Juniperus,Eastern redcedar,1,steeped_beverage,late_summer,,,,,4,66,n,,,seasonality infered from common juniper,
Taxus canadensis,Taxus,Canada yew,1,berry,late_summer,,,2,1,4,66,y,,,"seeds of berries are toxic, same with needles and bark",
Juglans nigra,Juglans,Black walnut,1,nut,fall,,"DDFW, MF, NCBF",2,1,5,68,y,,,,
Juglans nigra,Juglans,Black walnut,1,pod,early_summer,,"DDFW, MF",1,1,5,68,y,,,immature fruit husks,
Juglans nigra,Juglans,Black walnut,1,sap,early_spring,,"DDFW, MF",,1,5,68,y,,,syrup,
Juglans cinerea,Juglans,Butternut,1,nut,fall,,"DDFW, MF",3,1,5,69,y,,,wear gloves and eye protection when cracking,
Juglans cinerea,Juglans,Butternut,1,pod,summer,,"DDFW, MF",1,1,5,69,y,,,immature nuts. seasonality infered from when mature nuts are ripe,
Carya cordiformis,Carya,Bitternut,1,oil,fall,,"DDFW, MF",,,5,72,n,,,,
Carya cordiformis,Carya,Bitternut,1,oil,early_winter,,"DDFW, MF",,,5,72,n,,,,
Carya ovata,Carya,Shagbark,1,nut,fall,,DDFW,3,1,5,72,y,,,,
Carya ovata,Carya,Shagbark,1,nut,early_winter,,DDFW,3,1,5,72,y,,,,
Carya ovata,Carya,Shagbark,1,steeped_beverage,fall,,DDFW,3,1,5,72,y,,,hickory milk,
Carya ovata,Carya,Shagbark,1,steeped_beverage,early_winter,,DDFW,3,1,5,72,y,,,hickory milk,
Carya tomentosa,Carya,Mockernut,1,nut,fall,,SEF,3,1,5,74,y,,,,
Carya tomentosa,Carya,Mockernut,1,nut,early_winter,,SEF,3,1,5,74,y,,,,
Carya tomentosa,Carya,Mockernut,1,steeped_beverage,fall,,SEF,3,1,5,74,y,,,,
Carya tomentosa,Carya,Mockernut,1,steeped_beverage,early_winter,,SEF,3,1,5,74,y,,,,
Carya glabra,Carya,Common hickory,1,nut,fall,,DDFW,3,1,5,75,y,,,,
Carya glabra,Carya,Common hickory,1,nut,early_winter,,DDFW,3,1,5,75,y,,,,
Carya glabra,Carya,Common hickory,1,steeped_beverage,fall,,DDFW,3,1,5,75,y,,,,
Carya glabra,Carya,Common hickory,1,steeped_beverage,early_winter,,DDFW,3,1,5,75,y,,,,
Fagus grandifolia,Fagus,Beech,1,nut,fall,,MF,3,1,5,76,y,,,,
Fagus grandifolia,Fagus,Beech,1,oil,fall,,MF,,1,5,76,y,,,traditionally pressed for oil in Europe,
Fagus grandifolia,Fagus,Beech,1,leafy_greens,early_spring,,MF,1,1,5,76,y,,,"""marginally edible""",
Castanea dentata,Castanea,American chestnut,2,nut,fall,,,3,1,5,77,y,,,,
Corylus cornuta,Corylus,Beaked hazel,1,nut,fall,,"NCBF, BL",3,1,5,79,y,,,,
Corylus cornuta,Corylus,Beaked hazel,1,steeped_beverage,fall,,"NCBF, BL",3,1,5,79,y,,,nut milk,
Corylus americana,Corylus,American hazel,1,nut,fall,,"DDFW, BL",3,1,5,80,y,,,,
Corylus americana,Corylus,American hazel,1,steeped_beverage,fall,,"DDFW, BL",3,1,5,80,y,,,nut milk,
Quercus rubra,Quercus,Northern red oak,1,nut,fall,,"DDFW, MF, SEF, FP, S",1,1,5,83,y,,,,
Quercus rubra,Quercus,Northern red oak,1,flour,fall,,"DDFW, MF, SEF, FP, S",2,1,5,83,y,,,,
Quercus alba,Quercus,White oak,1,nut,fall,,"DDFW, SEF, FP, S",1,1,5,83,y,,,,
Quercus alba,Quercus,White oak,1,flour,fall,,"DDFW, SEF, FP, S",2,1,5,83,y,,,,
Quercus macrocarpa,Quercus,Bur oak,1,nut,fall,,"DDFW, SEF, FP, S",1,1,5,84,y,,,,
Quercus macrocarpa,Quercus,Bur oak,1,flour,fall,,"DDFW, SEF, FP, S",2,1,5,84,y,,,,
Quercus montana,Quercus,Chestnut oak,1,nut,fall,,"DDFW, SEF, FP, S",1,1,5,85,y,,,,
Quercus montana,Quercus,Chestnut oak,1,flour,fall,,"DDFW, SEF, FP, S",2,1,5,85,y,,,,
Rosa rugosa,Rosa,Rugosa rose,1,flower,early_summer,,SS,2,1,6,86,y,,,,
Rosa rugosa,Rosa,Rugosa rose,1,large_fleshy_fruit,late_summer,,SS,2,1,6,86,y,,,,
Rosa rugosa,Rosa,Rugosa rose,1,large_fleshy_fruit,fall,,SS,2,1,6,86,y,,,,
Malus,Malus,Native crabapple,1,large_fleshy_fruit,fall,,DDFW,1,1,6,92,y,,,,
Malus domestica,Malus,Apple,1,large_fleshy_fruit,fall,,BL,3,1,6,93,y,,,,
Malus sylvestris,Malus,European wild apple,1,large_fleshy_fruit,fall,,BL,2,1,6,93,y,,,,
Malus prunifolia,Malus,Pear-leafed crabapple,1,large_fleshy_fruit,fall,,BL,2,1,6,93,y,,,,
Prunus americana,Prunus,American plum,1,large_fleshy_fruit,late_summer,,"FP, BL",3,1,6,93,y,,,,
Prunus americana,Prunus,American plum,1,large_fleshy_fruit,early_fall,,"FP, BL",3,1,6,93,y,,,,
Sorbus americana,Sorbus,American mountain ash,1,berry,fall,,,1,1,7,97,y,,,,
Sorbus decora,Sorbus,Showy mountain ash,1,berry,fall,,,1,1,7,97,y,,,,
Sorbus aucuparia,Sorbus,European mountain ash,1,berry,fall,,,1,1,7,97,y,,,,
Celtis occidentalis,Celtis,Hackberry,1,berry,early_fall,,FP,3,1,7,99,y,,,fruit/nut combo,
Celtis occidentalis,Celtis,Hackberry,1,cambium,early_fall,,FP,2,1,7,99,y,,,fruit/nut combo,
Prunus serotina,Prunus,Black cherry,2,berry,late_spring,,"DDFW, BL",2,1,7,101,y,,,do not crush and eat seeds,
Prunus serotina,Prunus,Black cherry,2,berry,summer,,"DDFW, BL",2,1,7,101,y,,,do not crush and eat seeds,
Prunus serotina,Prunus,Black cherry,2,berry,early_fall,,"DDFW, BL",2,1,7,101,y,,,do not crush and eat seeds,
Prunus pensylvanica,Prunus,Pin cherry,1,berry,mid_summer,,"NCBF, BL",2,1,7,102,y,,,,
Prunus pensylvanica,Prunus,Pin cherry,1,berry,late_summer,,"NCBF, BL",2,1,7,102,y,,,,
Sassafras albidum,Sassafras,Sassafras,2,leafy_greens,spring,,"DDFW, SEF, BL",2,2,7,107,y,,,,
Sassafras albidum,Sassafras,Sassafras,2,steeped_beverage,year,,"DDFW, SEF, BL",,1,7,107,y,,,,
Sassafras albidum,Sassafras,Sassafras,2,seasoning,year,,"DDFW, SEF, BL",,1,7,107,y,,,,
Amelanchier,Amelanchier,Serviceberry,1,berry,late_spring,,"NCBF, BL",3,1,7,109,y,,,,
Amelanchier,Amelanchier,Serviceberry,1,berry,summer,,"NCBF, BL",3,1,7,109,y,,,,
Crataegus,Crataegus,Hawthorn,1,berry,late_summer,,"FP, BL",2,1,7,110,y,,,"fruit quality cited as 1-3, averaged to 2",
Crataegus,Crataegus,Hawthorn,1,berry,fall,,"FP, BL",2,1,7,110,y,,,"fruit quality cited as 1-3, averaged to 2",
Cercis canadensis,Cercis,Redbud,1,flower,spring,,"DDFW, MF, BL",2,1,8,113,y,,,,
Cercis canadensis,Cercis,Redbud,1,pod,spring,,"DDFW, MF, BL",2,1,8,113,y,,,"immature pods, guessing at seasonality",
Robinia pseudoacacia,Robinia,Black locust,2,flower,spring,,BL,3,1,8,117,y,,,,
Robinia pseudoacacia,Robinia,Black locust,2,flower,early_summer,,BL,3,1,8,117,y,,,,
Robinia pseudoacacia,Robinia,Black locust,2,seed/grain,mid_summer,,BL,2,1,8,117,y,,,,
Robinia pseudoacacia,Robinia,Black locust,2,seed/grain,late_summer,,BL,2,1,8,117,y,,,,
Robinia viscosa,Robinia,Clammy locust,2,flower,spring,,BL,3,1,8,118,y,,,,
Robinia viscosa,Robinia,Clammy locust,2,flower,early_summer,,BL,3,1,8,118,y,,,,
Robinia hispida,Robinia,Bristly locust,2,flower,spring,,BL,3,1,8,118,y,,,,
Robinia hispida,Robinia,Bristly locust,2,flower,early_summer,,BL,3,1,8,118,y,,,,
Tilia americana,Tilia,Basswood,1,leafy_greens,spring,,MF,3,,8,119,y,,,,
Tilia americana,Tilia,Basswood,1,bud,winter,,MF,1,,8,119,y,,,,
Tilia americana,Tilia,Basswood,1,cambium,early_summer,,MF,3,,8,119,y,,,,
Tilia americana,Tilia,Basswood,1,steeped_beverage,mid_summer,,MF,,,8,119,y,,,use flowers for tea,
Tilia americana,Tilia,Basswood,1,seasoning,fall,,MF,,,8,119,y,,,roast seeds for chocolate-like flavoring,
Populus tremuloides,Populus,Quaking aspen,1,cambium,early_summer,,,2,2,8,120,y,,,,
Betula papyrifera,Betula,White birch,1,cambium,early_summer,,NCBF,1,,8,121,y,,,,
Betula papyrifera,Betula,White birch,1,sap,late_winter,,NCBF,,,8,121,y,,,,
Betula nigra,Betula,River birch,1,sap,late_winter,,,,,8,122,y,,,,
Betula alleghaniensis,Betula,Yellow birch,1,sap,late_winter,,,,,8,122,y,,,,
Betula alleghaniensis,Betula,Yellow birch,1,steeped_beverage,year,,,,,8,122,y,,,use twigs and inner bark for tea or birch beer,
Betula lenta,Betula,Sweet birch,1,sap,late_winter,,,,,8,122,y,,,,
